description,rating,format,genre
언제나와 같은 야근길 붕어빵 사고 남은 돈으로 지른 로또에 무려 등으로 당첨된 유은워라밸 없기로 악명높은 사장 도혁의 비서 일부터 당장 때려치우려 했지만 제가 요즘 감 비서 생각으로 머릿속이 가득 차 있거든요사장님이 고장났 아니 밑도 끝도 없이 말랑말랑해졌다이제 와서 사람 흉내내도 소용없다며 밀어내려해도 미남계를 곁들인 콤보 공격에 점점 흔들리는 유은 그녀는 알까 도혁도 똑같은 생각을 하고 있다는 것을감 비서가 고장났다 반드시 원래대로 고쳐놓고 말겠어,9.91,story,pure
사람을 잡아먹는 괴물 감염자나는 괴물이 되었다,9.95,story,thrill
감자 청년이 펼치는 격정막장 작물드라마감자마을에 살고 있는 주인공 한감자는 꿈을 이루기 위해 감자마을을 떠난다하지만 감자마을 밖은 고난과 역경 그 자체마을을 떠나자마자 예상치 못한 살인 사건에 휘말리며 위험에 처하게 된다과연 한감자는 무사히 살아남아 다시 감자마을로 돌아갈 수 있을 것인가,9.94,story,comic
진실을 향한 입과 귀를 틀어막고 짓누르는 그들 이제 죽음에서 자유로워진 그녀의 복수가 시작된다,9.91,story,thrill
스무살 첫 커피 그리고 첫 사기세계 최고의 바리스타였던 지오반니와 조금은 특이한 직원들과 함께하는살 동우의 본격 카페 알바 이야기,9.78,story,comic
전국 전세계 고등학생 중 가장 쎈 녀석을 뽑는 대회가 열린다허구  막장 액션의 끝 기대하시라,9.64,story,fantasy
 신토불이 히어로 등장,7.41,episode,comic
갓을 쓴 네명의 꽃도령그들과 함께 드랍 더 비트,9.96,story,drama
과거로 갈 수 있는 건물을 얻게 된 평범한 청년 송강기시간 이동으로 내가 얻은 이득만큼 누군가는 피해를 보게 되는 파이 싸움의 현실강기는 과연 어떤 선택을 해 나갈 것인가,9.9,story,drama
계열의 갓트가 서로 싸우며 공존하는 세상육식계에게 학대를 받으며 일하던 환식계 꼬마 랏데는포식자에 제물로 바쳐졌으나 영웅 타세르에 의해 구원된다타세르의 말에 따르면 랏데가 바로 포식자들에 맞서 세상을 구원할천년에 한번 태어나는 계시된 존재였고이후 모든 갓트집단의 리더가 될 운명이었다이제 타세르와의 수련 후 세상을 뒤집는 복수가 시작된다,9.87,story,fantasy
흥분하면 거대해지는 그놈박성기를 함부로 자극하지 마라생체병기 핑크맨의 신체 부위를 나눠가진 초능력자들이 펼치는 박진감 넘치는 액션,9.93,story,fantasy
전세계 명 황금의 피를 가진 전교등을 노리는 도깨비가 나타났다지상 최대 공모전 최우수상 수상작,9.78,story,fantasy
얼굴 학력 성품 모든 것이 완벽한 전교 등 우등생 하린그런 그의 옆자리를 차지한 괴상한 전학생이 오늘부터 하린을 죽이겠다는데무협 소설 강림전기에서 튀어나온 악마 최강림과의 파란만장 학교생활 판타지,9.9,episode,action
이강변이라는 이름의 그녀가 펼쳐가는 대 청춘 로맨스,9.86,story,pure
강시대소동 야영지에 강시가 나타났다 찌질한 우리라도 막아야 한다,9.74,story,thrill
항상 바른 자세를 하는 같은 반 친구 겨울이요한이는 그런 겨울이가 왠지 신경 쓰인다 그때 마침 짝이 된 두 사람 가까워진 자리만큼 마음의 거리가 좁혀져 간다두근대는 심장 소리피어오르는 얼굴의 이 열기를 뭐라고 부르면 좋은 걸까어쩔 줄 모르는 소년소녀의 첫사랑 이야기,9.98,story,pure
게임 친구였던 귀여운 연하남과같은 검도장에서 만나버렸다,9.98,story,pure
사랑스러운 너와의 첫 만남부터 이별까지 서툰 주인과 강아지 명동이가 함께 성장해나가는 이야기,9.93,story,drama
우리의 발 밑에 그들이 살고있다,9.8,story,thrill
겉과 속이 다른 삶을 살아온 악랄한 인간 고은식 그런 악마와 함께 살고 있는 세진에게 뜻밖의 기회가 찾아온다이들의 비밀스러운 삶을 집요하게 파고드는 형사와 고은식으로부터 어린 시절 온갖 학대를 받으며 살아온 의문의 남자가 복수를 위해 나타난다,9.82,story,drama
출근길에 우연히 받은 아임펫 향수를 뿌렸다가 댕댕이 뚜치와 몸이 바뀌어버린 어도남그런데 뚜치가 회사에 출근하더니 투자 계약을 따내고 임원 승진에 짝사랑하는 여직원과 썸을 타기 시작한다뜻밖의 상황에 엮인 어도남은 오늘도 집에 틀어박혀 개밥을 먹는다주인과 반려동물의 몸을 뒤바꾸는 아임펫 향수 때문에 벌어지는 아이러니 코미디 대박 맞겠지 지상최대공모전 기 장려상 수상작,9.93,story,fantasy
나영의 행복을 위해서라면 무엇이든 할 수 있는 사랑스러운 반려견 우비 그런 우비와 나영의 시간에 불현듯 개를 무서워하는 낯선 남자 영민이 들어오고 나영과 영민의 관계가 가까워질수록 우비와 그녀의 사이는 멀어져 간다 나영의 사랑을 독차지할 수 없게 된 우비 결국 스스로의 한계를 느끼고 그녀의 곁을 떠나 자신을 위한 삶을 살기로 결심하게 되는데,9.86,story,drama
어느 날 문득 인생의 작은 인연 하나를 떠올리게 된 현수그 사람의 안부가 궁금해 난생처음 에 가입하게 되고 연락하기에 이른다그리고 만남까지그 인연과의 짧은 만남 이후 현수에겐 이상한 일들이 벌어지기 시작한다자신의 개인 정보를 알아야만 가능한 테러들 연이어 발생하면서평범했던 현수의 일상은 점점 무너져 가는데과연 현수는 범인을 잡고 자신의 일상을 되찾을 수 있을까,9.13,story,thrill
역대급 판타지스릴러 하이브의 프리퀄 곤충에게 지배당한 세상 그 시작과 끝에 개장수가 있다,9.98,story,fantasy
스스로를 정의라 부르는 조직 아마란스 버려진 투견 바울이 겪는 그들의 이야기,9.88,story,action
보다 재미있고 보다 다양한 웹툰의 세계 네이버 만화가 개편되었습니다네이버 웹툰 개편을 축하하기 위하여 많은 프로 작가님들이 릴레이 축하 카툰을 선보입니다,9.55,episode,daily
취업 면접에서 번번이 미끄러지는 순진은 자신 때문에 사고를 당해 휠체어 신세가 된 동생 나진과 엄마가 있는 고향집엔 다시 돌아가고 싶지 않다 집에 돌아가지 않으려면 알바 자리라도 구해야 한다 그러다 노랑 고양이에게 홀리듯 이끌려 다다른   어딘지 모르게 신비로워 보이는 카페 주인 마스터는 순진을 알바로 채용하게 되는데,9.2,story,pure
차이고 퇴짜맞는 것은 일상하지만 절대 기죽지 않아갸오오와 친구들의 좌충우돌 사랑 도전기,9.94,episode,comic
고등학교 동창인 준성 재효 민우는 오랜만에 만나 술자리를 가진다얼마 후 술에 취해 영 정신을 못차리는 민우를 재효의 자취방에서 재우다가 민우의 핸드폰으로 걸려 온 한 통의 전화를 받게된다 그 후 얼떨결에 민우의 납치범 행세를 하게된 재효와 준성그들은 과연 무사히 몸값을 받아낼 수 있을까,9.55,story,thrill
새로운 사랑은 중고거래로 장만하세요남친과 헤어진 후 추억의 물건을 중고거래 어플 동네마켓에 팔던 한결하지만 곧 구매자가 전 남친이란 걸 알게 되고 당황하던 한결은 때마침 나타난 중고남친으로 위기를 모면하는데전 남친 강현과 새로운 인연 이안 이 삼각관계의 엔딩은 무엇일까참새는 새신부 작가들의 신작,9.9,story,pure
거미 떼로 뒤덮인 섬마을의심의 거미줄 속에서 그녀는 탈출할 수 있을까,9.9,story,thrill
가난하고 불우한 기녀에서 조선 최고의 거상이 되기까지순정 만화로 보는 여인 김만덕의 파란만장 삶의 일대기,9.89,story,drama
은하학원 위성은과 지구봉의 귀갓길 로맨스 세상 가장 설레는 시간 걸어서 분,9.97,story,pure
너의 흉터도 너의 두 눈도 그리고 너의 힘까지 지금부터 모든 걸 바꿔줄게,9.98,story,action
격투게임 블러드피스트의 고인물인 윤시우에게 특이점이 왔다현실에서도 게임 속 커맨더가 보이는 것게임에 지루함을 느끼던 시우는 실제 싸움에 눈을 돌리기 시작했고자신의 능력을 이용해 학교를 재패하려 했으나  설표 홍민재에게 패배하게 된다그런 그 와의 재대결을 위해 시우는 격투기 동아리 라라파루자에 가입하게 되는데,9.72,story,action
그 것은 소년들을 빛나게 하기도 고통스럽게 하기도 하였다축복과 혼돈의 힘 라이프 이를 둘러싼 음모와 대전쟁의 시작,9.87,story,fantasy
년 전 운명이 뒤바뀐 소녀들 태어날 때 부터 타고난 능력을 지닌 다정과 그런 천재가 부러웠던 언니 은정  그렇게 하루 하루가 지옥이었다,9.98,episode,drama
일편단심화 심윤수 작가의 겨울 이야기올 겨울을 따뜻하게 채워 줄 에피소드 편어른을 위한 동화가 시작됩니다,9.89,episode,sensibility
한국이 세계 격투기의 중심이 된 세상 전국 탑 클래스 격투기 학생들만 모인 남일고에 약골 소년 주지태가 돌연 투입된다신체적 약점이 상쇄되는 무술 주짓수를 통해 주지태는 격기반의 정점에 오를 수 있을 것인가,9.48,story,sports
최고로 강한 학생이 전교 등이다극한지옥 격투기 특성화 사립 고등학교 극지고 격투 능력자들의 절륜한 한판,9.78,story,action
죽음이 가까워진 사람들은 거꾸로 걸어들어 온다그리고 그게 하필 내 이상형이라니,9.98,story,drama
설화 견우와 직녀 판타지로 다시 태어나다,9.95,story,pure
동물적인 색다른 사랑법,9.65,episode,daily
결계가 된 소녀 소년을 지키다 본격 미소녀 군단과 함께하는 셔틀남 탈출기,9.87,story,pure
년 전 실종된 아이가 돌아왔다초능력을 가진 순경의 아동실종 심리 수사극,9.86,story,drama
낡고 지친 직장인 주인공 하루하루는 자신만이 가지고 있는 능력을 활용해 욜로처럼 펑펑 쓰고 시간을 되돌리는 삶을 살아가고 있는데난데없이 나타나 총을 겨눈 의문의 남자로 인해 모든 것이 처음으로 돌아간다어떻게 여기까지 왔는데 다시 새내기로 돌아가다니게다가 이 모든 것을 끝내려면 정해진 결혼 상대를 찾아야만 한다두 플레이어의 우당탕탕 생존 결혼 공략,9.93,story,pure
내게는 짝남도 강제 남사친일 뿐 대 안에 한 번이라도 연애를 해보는 게 소원이지만 호감 상대와 결혼까지 망상하면 절대 성사되지 않는다는 징크스를 지닌 소망 연애의 연자도 허용되지 않던 그녀의 현실에도 볕 들 날이 오긴 하는데 이게 과연 썸이 맞긴 할까 망상 소녀 소망의 유쾌 발랄 로맨스,9.95,story,pure
조용할 날 없는 우당탕탕 두 짐승의 결혼생활 이야기,9.96,omnibus,daily
지난 인생이 후회스러운 건달 출신의 대 아파트 경비원 두만과 남은 인생이 막막한 대 흥신소 직원 새봄거대한 범죄 세력에 맞서기 위해 힘을 합쳤다,9.95,story,action
인적이 드문 산속 아파트에 이사 온 백성한어느 날 갑자기 옆집 이웃이 돌변해 아파트를 폐쇄하고 사람들을 죽이기 시작한다 백성한과 아파트 주민들은 경비실을 장악한 살인마의 주도 아래 목숨을 건 데스게임에 참여하게 되고 사람들의 살아남기 위한 몸부림이 시작된다,9.66,story,thrill
실질객관동화 무적핑크 작가의 신작싹수 노란 남자의 농사 정복기 오빤 강남 농부 스타일,9.9,story,comic
연애의 정령 김호드 작가 신작 남들보다 강한 그녀 육경자가 돌아왔다연인과 헤어지고 취업도 번번이 실패하며 힘든 하루를 보내던 경자는 더 쉴드라는 대기업으로부터 스카우트 제안을 받게 된다학벌도 빽도 없는 경자는 의아해하지만 따뜻하고 안락한 실내 사무직을 꿈꾸며 면접을 보러 가는데회사도 직원들도 면접자들도 모두 심상치 않다,9.93,story,comic
고려 조선시대를 거쳐 바리스타가 된 계룡산 선녀님 세환생한 서방님과 날개옷을 찾을 수 있을까,9.98,story,drama
대한민국 세대 만화가이자 꺼벙이순악질여사재동이등 한국 명랑만화의 효시가 되신 길창덕 선생님우리에게 만화의 즐거움을 선물해 주신 선생님께 네이버 웹툰 작가들이 추모 웹툰을 올립니다,9.76,omnibus,daily
마음 깊이 애도합니다 소박했던 그 웃음오래도록 기억하겠습니다추모 웹툰은 네이버 다음 야후 네이트 파란 카툰부머 웹툰 작가님들이 함께 합니다,9.38,omnibus,daily
치매 걸린 할아버지 게임 폐인 아빠와 살고 있는 고민원효대사가 남긴 해골물을 찾아달라는 의뢰를 받고삼부자가 떠나게 되는데,9.97,story,fantasy
정체불명의 인조 천진난만 켄 카리스마 선녀 쉬크노노루키루가 만들어내는 황당무계하지만 따뜻한 이야기들 지금부터 루키루와 함께 고고,9.96,omnibus,drama
저승로맨스판타지 학원물이 온다,9.98,story,drama
고등학생 작가님들의 단편을 모았다짧고 강렬하고 새로운 어디에서도 볼 수 없었던대들의 이야기를 만나보세요,9.82,omnibus,drama
평범한 고등학생인 마삼룡의 집에 갑자기 삼촌이 찾아온다삼룡의 가족과 함께 지내게 된 삼촌은 어느날 엄청난 비밀을 폭로하게 되는데그것은 바로 삼룡의 가족이 마법사 집안이었다는 것마법과 함께 펼쳐지는 삼룡과 삼촌의 코믹 에피소드,9.79,episode,comic
년 일제 식민 지배 하의 조선 세 소녀 수아는 군산 일대 친일파 대지주의 집에서 몸종으로 일하고 있다 어느 날 수아는 부상을 입은 채 해변가에 쓰러져 있는 독립운동가 의현을 발견하고 그를 보호하게 되는데,9.98,story,pure
설레는 마음으로 고백할 준비를 하던 반하얀그런데 고백이 양아치 같은 설박하에게 잘못 전해졌다그런 사실을 들키지 않기 위해 필사적으로 노력하는 하얀과 그런 그녀 머리 위에서 즐기는 박하과연 하얀은 그에게서 벗어나 다시 제대로 고백할 수 있을까나의 첫번째 새벽 신매 작가의 풋풋 하이틴 로맨스 신작,9.95,story,pure
천년간 사라진 무림이 현대 고등학교를 배경으로  되살아난다무림인들의 고교습격 장르파괴 무협학원액션,9.83,story,action
집은 나갔지만 막나가진 않았습니다대책없이 커져만가는 거짓말과 오해 숨막히는 추격전수능을 앞둔 고 수험생들의  가출기,9.74,story,drama
용비불패 최강의 콤비가 무협의 전설을 다시 쓰다 천하제일의 고수 강룡 그리고 수많은 다른 고수들의 이야기,9.97,story,fantasy
대학입학 그로부터 몇 년 공부하는 우리들의 빛나는 청춘,9.92,story,daily
이승과 저승 삶과 죽음을 둘러싼한국형 미스터리 판타지,9.98,story,drama
그곳의 비밀과 배신 그리고 음모년 만에 찾은 고향에서 벌어지는 한 남자의 처절한 사투상처와 고통으로 얼룩진 지옥의 섬으로 찾아가다,9.86,story,thrill
세상에서 가장 불운한 소녀 강유와 소녀의 불운을 막아주는 수상한 산신령 우암이 펼치는 판타지세계,9.98,story,fantasy
공감  에 도전한다 절대 센스 와 함께하는 골방 환상곡 네이버 전격 오픈늑대 워니와 그의 친구 곰이 보여주는 리얼 공감 스토리,9.92,episode,daily
반쪽짜리 황녀 블론디나 외로운 그녀의 유일한 친구는 귀여운 고양이가 아니라 만인이 두려워하는 흑표범 신수 에이몬자신과 닮아 외로워 보이는 신수님을 치료해주고 간식 주고 곱게 키워줬더니그렇게 도망가면 사냥하고 싶어져 오히려 곱게 잡아먹히게 생겼다,9.97,story,pure
이거 나만 그런거 아니지응 너만 그런거 아니야 반박불가 공감이 밀려온다,4.45,episode,comic
평범한 문과생 공대생이 되다최삡뺩 작가의 신작,9.97,story,comic
저주를 받은 자 저주를 건 자 저주를 수호하는 자괴상한 저주를 둘러싼 세 가문의 이야기영국 공작가의 아들과 마녀의 후손 그리고 저주를 수호하는 자의 후손이 벌이는 삼각관계,9.82,story,pure
세상에는 왜 이렇게 맛있는 게 많을까만두와의 저녁식사를 통한 식탐소녀 복희의 좌충우돌 성장기,9.75,story,drama
죽거나 혹은 공부해야하는 우리 학생들그들에게 벌어지는 조금은 무서운 이야기,9.84,omnibus,thrill
자각몽을 뛰어넘은 또 다른 꿈의 세계가 있다면꿈을 빼앗긴 자들이 모이는 곳,9.92,story,fantasy
당신 없이는 살 수 없어나는 구원 받을 수 있습니까,9.95,story,drama
작가 김대일의 섬뜩한 연출력이 만든 공포단편선  이색적인 공포 이야기들을 단편으로 다양하게 보여준다 끝나는 순간까지 결과를 예측할 수 없는 공포가 다가온다,9.72,episode,thrill
타인은 지옥이다 김용키 작가의 신작여자친구와 함께 떠난 비경에 숨겨진 펜션으로의 여름휴가하지만 불쾌한 펜션 주인을 시작으로 주인공의 트라우마를 끄집어내는 끔찍한 만남들이 이어진다지옥으로 치닫는 사건과 사고 이제 모든 것을 끝낼 때가 왔다,9.77,story,thrill
싸움이라곤 쥐뿔 관심 없는 그저 실수 하나 때문에 일진에게 제대로 찍혀버려 괴롭힘만 당하던 녀석자기 자신이 좋아하던 여학생에게 순정까지 짓밟혀가며 멘탈이 탈탈 터진 녀석결국 벼랑 끝에 몰려 단 하나의 관종 같은 선택을 하게 되고 그 오디션에 나가 초대박 성적을 거두고 돌아오게 되는데,9.69,story,action
전 재산을 가족 몰래 주식으로 날린 교장 정도만 이제 은퇴까지 년 밖에 남지 않았다 가족에게 들키기 전에 잃은 돈을 메꾸려는 도만은 제자 홍삼과 함께 인터넷 방송을 시작하지만 예상과 달리 여러 사건에 휘말리게 되는데 과연 노잼선생은 인기 가 되어 빚을 청산할 수 있을까,9.93,story,comic
지언은 우연히 같은 과 동기인 연성을 수업에서 마주치게 된다같은 과지만 처음 보는 듯한 얼굴에 지언은 연성에게 관심을 갖게 되지만 대놓고 지언을 피하는 연성하지만 연성은 본의 아니게 지언과 계속 엮이게 되면서 자신의 비밀을 들키고 마는데과연 연성은 지언을 통해 자신의 트라우마를 딛고 일어설 수 있을까,9.97,story,pure
무공에 미친 광마 이자하그는 마교 교주의 천옥을 훔쳐 쫓기던 중 벼랑에서 떨어지게 된다모든 게 끝났다고 생각한 순간 눈을 떠보니 사람들에게 무시당하던 점소이 시절로 돌아와 있는데게다가 억울한 누명으로 두들겨 맞고 객잔은 박살이 나 있는 상황 점소이 시절로 회귀한 광마 사내는 다시 미치게 될 것인가 아니면 사내의 적들이 미치게 될 것인가,9.96,story,historical
군계일학 정점에서 조직을 떠난 기준년만에홀로 복귀한다,9.97,story,action
아빠를 구하기 위해 조선시대로 타임슬립 한 경민 그리고 그곳에서 만난 광해군년의 시간을 뛰어넘은 특별한 사랑이야기,9.92,story,pure
세상과 단절되어 살아가던 나는 괴물공작 이라 불리는 아빠에게 거둬졌다어느 날 아빠의 서재에서 이상한 책을 발견하는데이거 내용이 왜 이래 내가 병 때문에 죽는다고 그러면서 양녀를 들이고 잘해줘어차피 죽을 거라면 그전에는 뭘 해도 안 죽는다는 거잖아 그렇다면 정말 로티 맘대로 해버릴 거야,9.5,story,fantasy
어느날 해나에게 찾아와 신랑으로 삼아달라는 꽃미남들그들에게는 엄청난 비밀이 있었다,9.94,story,fantasy
사이좋은 소꿉친구였던 승환 도희 상민은 고등학생이 되어서도 끈끈한 우정을 이어가는 듯했으나기묘한 존재인 괴이의 등장과 함께 상민이 사라져 버리고 마는데상민의 흔적을 찾아가며 밝혀지는 비밀들승환은 어린 시절의 우정을 되찾을 수 있을까,9.8,story,action
인싸로 살아가던 여대생 한나무 생일파티에 가던 길에 교통사고를 당하고왕따 여중생이 되어 깨어나다,9.94,story,drama
집안 사정으로 대학 진학을 포기한 용철 우연히 발견한 학생증으로 얼떨결에 한국대 신입생으로 위장했다 친구들도 사귀고 마음에 드는 선배도 만나 캠퍼스 라이프를 맛보는가 싶더니 웬걸 자퇴한 줄 알았던 학생증의 진짜 주인이 나타났다아슬아슬 짜릿한 가짜학생 사기극이 시작된다,9.88,story,drama
원시시대로 넘어간 청담 핫걸 이나의부족 생활 적응기,9.94,story,comic
년을 잊지 못한 첫사랑 구남친과 원수 같은 구남친을 한 오피스에서 만나버렸다독자님은 딸기파 초코파 팽팽하고 달달한 삼각 로맨스,9.89,story,pure
친구들과 만든 미스터리 호러 채널에 범죄자가 접속했다 채널은 그야말로 대박이 나는데 물 들어올 때 노 저어 말아 숨 막히는 생방송 스릴러,9.91,story,thrill
삶을 풍요롭게 하는 음악 밴드를 통해 삶으로부터 탈출하고자 하는 그들노래를 통해 성장하고 행복을 찾아간다,9.88,omnibus,drama
흙수저 탈출만이 유일한 목표홍상완의 뜻대로 안풀리는 고교생활 이야기,9.98,episode,drama
이름뿐인 왕녀에서 진정한 왕녀로아름다운 연꽃 아래 가려진 궁중 로맨스,9.91,story,pure
단역과 엑스트라를 전전하는 무명 여배우 김은홍년 사귄 남자친구한테 차이고 술에 취해 귀가하던 중 엘제이제약 대표 이강일과 사건에 휘말린다그런데 갑자기 억을 줄 테니 약혼하자는 강일김은홍 씨가 없으면 내가 살 수가 없으니까내가 없으면 죽는다고 그 남자를 위해 연기하는 은홍의 목숨을 건 로맨스,9.91,story,pure
여기가 정말 대한민국주말에 여행할 곳을 찾고 있다면 네이버 웹툰 작가들과 함께 대한민국의 구석구석으로 신나는 여행을 떠나보자,9.22,episode,daily
년간 집 밖으로 나오지 않은  의 살 천재 순덕그리고 순덕의 집으로 초대된 연예부 파파라치 기자 기웅그 두 사람이 불치병에 걸린 한 생명을 구하기 위해 나노 크기로 몸을 줄여 우주와 같은 인체를 탐험하는 대모험을 시작한다,7.49,story,fantasy
마왕이 사라진뒤 몇 년 후 구원자의 꿈에 다시 마왕이 나타난다 자신을 구해달라는 마왕의 계시를 받은 용사는 다시 한 번 세상을 혼란에 빠트리기 위해 여행을 떠나게 되는데,9.64,story,fantasy
구원을 바라는 뱀파이어와 그녀를 둘러싼 두 여자의 어긋난 관계 뱀파이어인 원은 대학에서 선배 주이를 만난 후 새로운 감정을 배우고 평범한 삶을 꿈꾼다 원에게 집착하는 소꿉친구 세연은 둘을 갈라놓으려 하지만 세연이 거슬렸던 주이는 일부러 원에게 접근한다 세 사람의 관계는 파국으로 치닫는데,9.87,story,drama
동생이 죽었다 장례식이 끝난 뒤 동생이 비밀 커뮤니티 어플을 통해 몰래 사람들을 만나고 다닌 기록을 발견한다 어플 안의 모두가 용의자다,9.95,story,drama
세상에서 착한 게 제일 싫은 준영은 자타공인 청정호구 산호가 자꾸 거슬린다 취향이 없고 흐릿한 것도 맨날 손해 보고 사는 것도 마음에 안 드는데산호의 목숨을 살리려면 이 순둥이를 나쁜 남자로 변화시켜야만 한다고사람 속 긁는 건 타고난 준영이지만 이렇게까지 해도 되는 거야,9.91,story,pure
당신의 꿈이 이루어지는 세상은 축구장만이 아니다힘들고 지친 자 지는 해만 보면 눈물이 나는 자 막힌 변기를 안고 한없이 울어본 적이 있는 자미칠듯이 달려가자 또 다른 세상 파라다이시움으로,9.46,omnibus,comic
입학과 동시에 모든 학생에게 천만원의 입학금이 지급되는 파격적인 조건 그러나 잔고가 미달이면 퇴학을 먹고 살기 위한 고등학생들의 악전고투기,9.95,story,drama
반이 돌아왔다 국립자유경제고등학교 세실고 새롭게 시작되는 학기,9.97,story,drama
주인공 신재현은 다니던 기업의 비리를 고발했다는 이유로 직장을 잃고 배신자라 불리게 된다 이에 굴하지 않고 세무직 공무원 합격을 목표로 했지만 그마저도 어려운 집안 환경 앞에 흔들린다 좌절하던 그에게 은인이 손을 내밀고 훗날 국세청의 망나니가 될 자는 비로소 칼을 손에 쥔다 탈세자라면 어디의 누구든 전부 잡아내겠습니다,9.87,story,drama
그래 왕이 되었지 가지고 싶은 건 다 빼앗아 가지려고왕위를 찬탈하고 주변국을 점령하기 시작한 전쟁 군주 블러디 칼리오페고결하기로 이름난 성기사 이제키엘은전쟁을 막기 위해 인접국 알펜시아드로 향한다그의 임무는 국왕의 요구를 따르고 전쟁을 피하는 것이었지만왕궁에 도착한 그를 기다린 것은 국왕과의 외교가 아닌 약탈혼이었는데잔혹한 왕 칼리오페와 성기사 이제키엘억지로 시작된 이들의 관계는 사랑으로 발전할 수 있을까,9.88,story,pure
전역하고 싶어서 북으로 향한 이병의 탈남,9.77,story,comic
천식 환자 제갈길은 종합격투기 선수였던 형의 원한을 갚기 위해 필사적으로 를 배운다 카이저 헤비급 세계챔피언 라이버다크게세이라에게 도전하기 위해무수한 강자들과 싸우며 꺾어 가는 전투과정이 펼쳐진다,8.5,story,sports
사무실을 공짜로 빌려쓰게 된 만화가 쥬드씨 그 사무실은 원래 고민상담소로 쓰이던 곳이라 아주 가끔씩이긴 하지만 상담을 원하는 사람이 찾아오는데 그냥 잘 들어주기만 하면 된단다 이사를 한 바로 그날 밤 손님이 찾아왔다 이야기를 듣는 동안 쥬드씨는 이야기를 그림으로 그리기 시작하고 다음날 그림을 전달하기 위해 방문한 쥬드씨는 놀라운 사실을 알게 된다,9.97,omnibus,drama
